自增ID,租户ID,资产ID,智能耳标编号,记录日期,记录人,资产月龄,资产体重,创建人,创建人名称,创建人部门id,创建时间,修改人,修改人名称,修改时间,状态（0预留）
8195,4,3768,2210000424,2025-04-23,付勇斌,9.0,635.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8196,4,3769,2210000425,2025-04-23,付勇斌,9.0,570.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8197,4,3771,2210000427,2025-04-23,付勇斌,9.0,520.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8198,4,3772,2210000428,2025-04-23,付勇斌,9.0,595.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8199,4,3773,2210000429,2025-04-23,付勇斌,9.0,475.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8200,4,3774,2210000430,2025-04-23,付勇斌,9.0,615.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8201,4,3775,2210000431,2025-04-23,付勇斌,9.0,600.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8202,4,3776,2210000432,2025-04-23,付勇斌,9.0,495.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8203,4,3778,2210000434,2025-04-23,付勇斌,9.0,590.0,17,付勇斌,6,2025-04-23 16:03:57,,,,0
8204,4,3779,2210000435,2025-04-23,付勇斌,9.0,620.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8205,4,3780,2210000436,2025-04-23,付勇斌,9.0,615.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8206,4,3781,2210000437,2025-04-23,付勇斌,9.0,470.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8207,4,3782,2210000438,2025-04-23,付勇斌,9.0,630.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8208,4,3783,2210000439,2025-04-23,付勇斌,9.0,610.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8209,4,3784,2210000440,2025-04-23,付勇斌,9.0,600.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8210,4,3786,2210000442,2025-04-23,付勇斌,9.0,575.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8211,4,3787,2210000443,2025-04-23,付勇斌,9.0,650.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8212,4,3788,2210000444,2025-04-23,付勇斌,9.0,620.0,17,付勇斌,6,2025-04-23 16:03:57,,,,0
8213,4,3789,2210000445,2025-04-23,付勇斌,9.0,595.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8214,4,3790,2210000446,2025-04-23,付勇斌,9.0,460.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8215,4,3791,2210000447,2025-04-23,付勇斌,9.0,545.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8216,4,3792,2210000448,2025-04-23,付勇斌,9.0,500.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8217,4,3793,2210000449,2025-04-23,付勇斌,9.0,490.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8218,4,3794,2210000450,2025-04-23,付勇斌,9.0,520.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8219,4,3796,2210000452,2025-04-23,付勇斌,9.0,600.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8220,4,3797,2210000453,2025-04-23,付勇斌,9.0,615.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
8221,4,3798,2210000454,2025-04-23,付勇斌,9.0,520.0,17,付勇斌,6,2025-04-23 16:03:57,,,2025-04-29 17:03:38,0
